"County","Ethnicity: % Hispanic","Race: % White Alone","Race: % African American Alone","Race: % American Indian & Alaska Native Alone","Race: % Asian Alone","Race: % Native Hawaiian and Other Pacific Islander Alone","Race: % Multi-Racial"
"Gregg","18.95","74.57","20.86","1","1.44","0.11","2.02"
"Grimes","24.36","80.91","15.85","0.96","0.41","0.09","1.79"
"Guadalupe","38.01","85.8","8.45","0.97","1.9","0.21","2.66"
"Hale","59.41","90.38","5.74","1.73","0.64","0.12","1.39"
"Hall","34.06","87.37","9.12","1.47","0.42","0.07","1.56"
"Hamilton","12.48","95.1","0.96","1.83","0.83","0.07","1.21"
"Hansford","47.4","95.85","0.99","1.63","0.39","0","1.14"
"Hardeman","23.26","90.24","5.71","1.18","0.55","0","2.33"
"Hardin","5.73","91.77","5.57","0.6","0.66","0.02","1.37"
"Harris","42.95","69.83","19.75","1.07","7.33","0.12","1.89"
"Harrison","13.49","75.14","21.1","1.21","0.77","0.13","1.65"
"Hartley","26.81","90.55","6.96","0.7","0.65","0.02","1.12"
"Haskell","29.2","91.19","4.49","1.15","0.89","0","2.28"
"Hays","39.03","90.26","4.35","1.24","1.72","0.15","2.29"
"Hemphill","33.15","95.18","0.72","1.62","1.14","0.12","1.22"
"Henderson","12.9","89.89","6.47","0.92","0.68","0.1","1.94"
"Hidalgo","92.2","97.02","0.85","0.53","1.09","0.04","0.46"
"Hill","20.81","89.57","7","0.91","0.55","0.14","1.82"
"Hockley","48.09","92.55","4.11","1.38","0.55","0.05","1.36"
"Hood","12.71","95.75","0.89","0.96","0.91","0.09","1.4"
"Hopkins","16.92","88.79","7.38","0.95","0.72","0.11","2.06"
"Houston","10.96","71.65","25.73","0.66","0.67","0.01","1.28"
"Howard","42.39","87.84","7.33","1.7","1.21","0.08","1.84"
"Hudspeth","77.77","91.72","2.77","1.86","1.57","0.16","1.93"
"Hunt","16.43","86.7","8.31","1.18","1.52","0.17","2.13"
"Hutchinson","23.39","91.7","2.96","2.19","0.67","0.08","2.39"
"Irion","26.32","95.58","1.32","1.19","0.26","0","1.65"
"Jack","16.88","92.91","4.06","1.13","0.57","0.11","1.21"
"Jackson","33.42","89.54","6.61","0.85","1.18","0.05","1.77"
"Jasper","6.69","80.83","16.31","0.69","0.51","0.07","1.58"
"Jeff Davis","34.12","94.08","1.58","1.4","0.96","0.04","1.93"
"Jefferson","20.77","58.98","34.26","1","4.01","0.1","1.66"
"Jim Hogg","92.81","97.5","0.77","0.54","0.48","0.04","0.67"
"Jim Wells","80.62","96.66","0.85","1.06","0.46","0.08","0.89"
"Johnson","21.33","92.17","3.6","0.97","0.92","0.46","1.88"
"Jones","27.9","83.03","13.19","1.45","0.75","0.01","1.59"
"Karnes","53.97","88.26","9.41","1","0.45","0.04","0.84"
"Kaufman","21.43","83.92","11.6","0.99","1.34","0.09","2.07"
"Kendall","24.15","94.77","1.33","0.73","1.29","0.09","1.79"
